release_year,count
1942,2
1943,3
1944,3
1945,3
1946,2
1947,1
1954,1
1955,1
1956,1
1958,2
1959,1
1960,3
1962,3
1965,1
1966,1
1967,2
1968,2
1969,1
1970,1
1971,2
1972,1
1973,8
1974,6
1975,4
1976,6
1977,2
1978,6
1979,4
1980,6
1981,4
1982,6
1983,6
1984,6
1985,5
1986,7
1987,4
1988,9
1989,10
1990,7
1991,11
1992,10
1993,14
1994,12
1995,12
1996,10
1997,17
1998,18
1999,9
2000,19
2001,24
2002,23
2003,29
2004,32
2005,41
2006,48
2007,49
2008,80
2009,73
2010,99
2011,90
2012,114
2013,165
2014,202
2015,342
2016,573
2017,643
2018,615
2019,338
